Brand,Name,Price,Link,Image
OLD NAVY ,Áo Thun Nữ,189.000,https://www.acfc.com.vn/old-navy-ao-thun-nu-oln-416351-01.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn17247795_ogjd41npuagustvq.jpg
PARFOIS ,Áo Nữ Santorini,1.390.000,https://www.acfc.com.vn/parfois-ao-nu-santorini-parfoi-191015-pku-pk.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/1/9/191015_pk_1y_rsbw2fsamahqeuxl.jpg
COTTON ON ,Quần Jeans Dài Nữ - Stretch Mom Jean,899.000,https://www.acfc.com.vn/cotton-on-quan-jeans-dai-nu-stretch-mom-jean-coc-2003128-10.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/0/2003128-10-3_4_2.jpg
CK JEANS ,Quần Jean Nữ Skinny Fit,5.259.000,https://www.acfc.com.vn/ck-jeans-quan-jean-nu-skinny-fit-ck-j218747-1a4.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/j/2/j218747-1a4-1_1.jpg
TOMMY HILFIGER ,Áo Polo Nữ Tay Ngắn IM Reg Sequin Crest C-Nk Polo SS,2.899.000,https://www.acfc.com.vn/tommy-hilfiger-ao-polo-nu-tay-ngan-im-reg-sequin-crest-c-nk-polo-ss-tommy-ww0ww36539-xjv.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/w/w/ww0ww36539xjv_f_uz5vedjldyvavkbb.jpg
CK UNDERWEAR ,Quần Bơi Nữ Bikini Fit,1.399.000,https://www.acfc.com.vn/ck-accessories-quan-boi-nu-bikini-fit-ck-kw01866-0gy.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/k/w/kw01866-0gy-item-2_wfefbzzzpg8wg3ar.jpg
TOMMY JEANS ,Áo Polo Nữ Tay Ngắn TJW Super Crop RWB Script Polo,1.599.000,https://www.acfc.com.vn/tommy-jeans-ao-polo-nu-tay-ngan-tjw-super-crop-rwb-script-polo-tj-dw0dw13424-c1q.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/d/w/dw0dw13424_c1q_main__main__e0x1v7wkck2cpqm7.jpg
COTTON ON BODY ,Áo Bơi Nữ-Floss Bikini Top,429.000,https://www.acfc.com.vn/cotton-on-ao-boi-nu-floss-bikini-top-coc-6332473-19.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/6/3/6332473-19-2_bqnamwszxafbqkib.jpg
FRENCH CONNECTION ,Áo Thun Nữ Boyfit Tee,699.000,https://www.acfc.com.vn/french-connection-ao-thun-nu-boyfit-tee-fcuk-76sbh-41.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/7/6/76sbh-41-1_sjte1khnszg8uidu.jpg
CK PERFORMANCE ,Áo Thun Thể Thao Nữ Light Support Fit,764.500,https://www.acfc.com.vn/ck-performance-ao-thun-the-thao-nu-light-support-fit-ck-4ws1k146-007.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/4/w/4ws1k146-007-1_1.jpg
